,GOLD Analysis Project ID
1059,Ga0209146
1060,Ga0211566
1061,Ga0428426
1062,Ga0160461
1063,Ga0121040
1064,Ga0307954
1065,Ga0467083
1066,Ga0081478
1067,Ga0073909
1068,Ga0007846
1069,Ga0307427
1070,Ga0102928
1071,Ga0173478
1072,Ga0531112
1073,Ga0211502
1074,Ga0456132
1075,Ga0193979
1076,Ga0315540
1077,Ga0455779
1078,Ga0209396
1079,Ga0466975
1080,Ga0436606
1081,Ga0118590
1082,Ga0498785
1083,Ga0208105
1084,Ga0000787
1085,Ga0105057
1086,Ga0163199
1087,Ga0135282
1088,Ga0169727
1089,Ga0495400
1090,Ga0495539
1091,Ga0453680
1092,Ga0451378
1093,Ga0494435
1094,Ga0022197
1095,Ga0372937
1096,Ga0137354
1097,Ga0118148
1098,Ga0119947
1099,Ga0180062
1100,Ga0119915
1101,Ga0209178
1102,Ga0208157
1103,Ga0214542
1104,Ga0239505
1105,Ga0242825
1106,Ga0120327
1107,Ga0115224
1108,Ga0243798
1109,Ga0245699
1110,Ga0485473
1111,Ga0326458
1112,Ga0208638
1113,Ga0214181
1114,Ga0491454
1115,Ga0497409
1116,Ga0335293
1117,Ga0373482
1118,Ga0211474
1119,Ga0466312
1120,Ga0454678
1121,Ga0049081
1122,Ga0056110
1123,Ga0011069
1124,Ga0497421
1125,Ga0484959
1126,Ga0120152
1127,Ga0207741
1128,Ga0484692
1129,Ga0484893
1130,Ga0208874
1131,Ga0181561
1132,Ga0181454
1133,Ga0318561
1134,Ga0211528
1135,Ga0501140
1136,Ga0213496
1137,Ga0119994
1138,Ga0211563
1139,Ga0335319
1140,Ga0207599
1141,Ga0212023
1142,Ga0066866
1143,Ga0120147
1144,Ga0121109
1145,Ga0482163
1146,Ga0214163
1147,Ga0455896
1148,Ga0182778
1149,Ga0114987
1150,Ga0114844
1151,Ga0455955
1152,Ga0120871
1153,Ga0484718
1154,Ga0207447
1155,Ga0207517
1156,Ga0213870
1157,Ga0334878
1158,Ga0491194
1159,Ga0209923
1160,Ga0001981
1161,Ga0255131
1162,Ga0243801
1163,Ga0453901
1164,Ga0210123
